workload	timestamp	pit
20000	138750	13515.444
19000	138800	10092.154
16000	138850	32455.8
15000	138900	20269.334
12000	138950	35113.25
14000	139000	29957.75
13000	139050	6145.1
15000	139100	685.375
14000	139150	1972.2222
11000	139200	9022
12000	139250	11616.223
17000	139300	16100.1
14000	139350	6028.125
16000	139400	1925.2858
11000	139450	5301.0835
13000	139500	6574
12000	139550	2930.5
18000	139600	7311.625
14000	139650	15740.363
18000	139700	5513.5
14000	139750	12004.25
15000	139800	18513.75
13000	139850	3665.6667
12000	139900	4369.6665
13000	139950	4697.3335
16000	140000	21913.777
19000	140050	5616
16000	140100	6938.25
16000	140150	8767.25
16000	140200	9628.8
18000	140250	13569.9
12000	140300	9402.091
17000	140350	3472.875
15000	140400	1448
11000	140450	1987.2858
15000	140500	3029
19000	140550	5788.8
16000	140600	3032.1333
17000	140650	33044.6
17000	140700	4228.375
11000	140750	13797.333
16000	140800	9457.934
16000	140850	12331.4
19000	140900	3902
14000	140950	806.6667
10000	141000	3556.9
13000	141050	24764.555
17000	141100	14909.667
13000	141150	7492.143
13000	141200	9034.637
14000	141250	39774.223
16000	141300	2579.375
11000	141350	59820.75
16000	141400	2464.5557
20000	141450	9707
20000	141500	23368
17000	141550	5564
11000	141600	17427
15000	141650	4624.909
13000	141700	20549.777
13000	141750	25063.416
13000	141800	14973.091
16000	141850	7652.636
12000	141900	5146.3
11000	141950	17573.846
13000	142000	4370
17000	142050	19446.5
15000	142100	10666.333
16000	142150	3401.7778
11000	142200	5516.5
14000	142250	9018.25
11000	142300	15786.692
12000	142350	7932.9
19000	142400	3017.4285
19000	142450	5510.154
18000	142500	8081.4287
11000	142550	21696.125
20000	142600	3047
10000	142650	8729.625
19000	142700	9318.333
15000	142750	5035.273
16000	142800	18060.6
16000	142850	7927.5
12000	142900	4631.4443
17000	142950	11933.25
16000	143000	33542.223
18000	143050	11259.333
14000	143100	2927.8
16000	143150	19845.2
14000	143200	6649.8667
15000	143250	12656.546
14000	143300	10574.714
18000	143350	5404.3335
17000	143400	2572
13000	143450	12177
13000	143500	5587.4287
